Title, Year, Rating, Cast
Koe no katachi,2016,8.2,Naoko Yamada; Miyu Irino; Saori Hayami; Aoi Yûki; Kenshô Ono;
Three Billboards Outside Ebbing| Missouri,2017,8.2,Martin McDonagh; Frances McDormand; Woody Harrelson; Sam Rockwell; Caleb Landry Jones;
Talvar,2015,8.2,Meghna Gulzar; Irrfan Khan; Konkona Sen Sharma; Neeraj Kabi; Sohum Shah;
Queen,2013,8.2,Vikas Bahl; Kangana Ranaut; Rajkummar Rao; Lisa Haydon; Jeffrey Ho;
Room,I) (2015,8.2,Lenny Abrahamson; Brie Larson; Jacob Tremblay; Sean Bridgers; Wendy Crewson;
Mandariinid,2013,8.2,Zaza Urushadze; Lembit Ulfsak; Elmo Nüganen; Giorgi Nakashidze; Misha Meskhi;
Kis Uykusu,2014,8.2,Nuri Bilge Ceylan; Haluk Bilginer; Melisa Sözen; Demet Akbag; Ayberk Pekcan;
Bhaag Milkha Bhaag,2013,8.2,Milkha Singh; Rakeysh Omprakash Mehra; Farhan Akhtar; Sonam Kapoor; Pavan Malhotra; Art Malik;
PK,2014,8.2,Rajkumar Hirani; Aamir Khan; Anushka Sharma; Sanjay Dutt; Boman Irani;
OMG: Oh My God!,2012,8.2,Umesh Shukla; Paresh Rawal; Akshay Kumar; Mithun Chakraborty; Om Puri;
Inside Out,I) (2015,8.2,Pete Docter; Ronnie Del Carmen; Amy Poehler; Bill Hader; Lewis Black; Mindy Kaling;
Gangs of Wasseypur,2012,8.2,Anurag Kashyap; Manoj Bajpayee; Richa Chadha; Nawazuddin Siddiqui; Tigmanshu Dhulia;
Udaan,2010,8.2,Vikramaditya Motwane; Rajat Barmecha; Sanjay Gandhi; Ronit Roy; Manjot Singh;
Paan Singh Tomar,2012,8.2,Tigmanshu Dhulia; Irrfan Khan; Hemendra Dandotiya; Navneet Gairola; Mahie Gill;
El secreto de sus ojos,2009,8.2,Juan José Campanella; Ricardo Darín; Soledad Villamil; Pablo Rago; Carla Quevedo;
Warrior,2011,8.2,Gavin O'Connor; Tom Hardy; Nick Nolte; Joel Edgerton; Jennifer Morrison;
